County,20 - 24 years,25 - 29 years,30 - 34 years,35 - 39 years,40 - 44 years,45 - 49 years,50 - 54 years,55 - 59 years,60 - 64 years,65 - 69 years,70 - 74 years,75 - 79 years
Carlow,3324.0,3388.0,4136.0,4498.0,4297.0,3914.0,3611.0,3246.0,2864.0,2467.0,1888.0,1355.0
Cavan,3525.0,3989.0,5420.0,5813.0,5493.0,5291.0,4963.0,4468.0,3913.0,3445.0,2571.0,1818.0
Clare,5753.0,5630.0,7451.0,8879.0,9118.0,8740.0,8063.0,7407.0,6639.0,6156.0,4575.0,3061.0
Cork,32500.0,32443.0,40401.0,44145.0,40686.0,37355.0,34954.0,30936.0,27228.0,24135.0,18681.0,13520.0
Donegal,7550.0,8075.0,9826.0,11626.0,11412.0,11326.0,10300.0,9384.0,8805.0,8184.0,6496.0,4568.0
Dublin,91983.0,111569.0,123426.0,120544.0,100210.0,86537.0,78349.0,70490.0,60566.0,52746.0,40966.0,31025.0
Galway,16470.0,15304.0,18859.0,21175.0,19420.0,17691.0,15796.0,14639.0,13316.0,11434.0,8808.0,6239.0
Kerry,6715.0,7114.0,9722.0,11025.0,10687.0,10418.0,10152.0,9787.0,9156.0,8584.0,6540.0,4427.0
Kildare,12478.0,12246.0,17030.0,19422.0,18693.0,16235.0,13916.0,11611.0,9820.0,8333.0,5869.0,3573.0
Kilkenny,4663.0,5291.0,6696.0,7801.0,7671.0,6869.0,6520.0,6027.0,5327.0,4636.0,3625.0,2474.0
Laois,4107.0,4899.0,6679.0,7205.0,6365.0,5942.0,5165.0,4624.0,3963.0,3253.0,2523.0,1671.0
Leitrim,1293.0,1433.0,1984.0,2334.0,2332.0,2214.0,2129.0,2110.0,2002.0,1747.0,1328.0,966.0
Limerick,12610.0,11795.0,14255.0,15208.0,14079.0,12913.0,12073.0,11369.0,10361.0,9298.0,7103.0,5004.0
Longford,1954.0,2225.0,2784.0,3197.0,2906.0,2799.0,2485.0,2383.0,2205.0,1990.0,1513.0,972.0
Louth,7078.0,7613.0,9256.0,10247.0,9988.0,9250.0,8142.0,6980.0,6040.0,5368.0,4226.0,2923.0
Mayo,5792.0,6165.0,8111.0,8862.0,9017.0,8933.0,8907.0,8776.0,8136.0,7632.0,5689.0,4052.0
Meath,9372.0,9773.0,14014.0,16832.0,16635.0,14551.0,12360.0,10124.0,8670.0,7398.0,5539.0,3531.0
Monaghan,2975.0,3467.0,4364.0,4708.0,4443.0,4117.0,3913.0,3625.0,3222.0,2870.0,2105.0,1485.0
Offaly,3948.0,4120.0,5389.0,5924.0,5758.0,5380.0,5156.0,4571.0,3987.0,3537.0,2625.0,1926.0
Roscommon,2749.0,3096.0,4061.0,4591.0,4577.0,4495.0,4365.0,4219.0,3978.0,3387.0,2637.0,1879.0
Sligo,3597.0,3205.0,4264.0,4762.0,4513.0,4344.0,4399.0,4268.0,3826.0,3556.0,2639.0,1872.0
Tipperary,7752.0,8106.0,10375.0,11809.0,11713.0,11270.0,10785.0,9842.0,8914.0,7909.0,6171.0,4384.0
Waterford,6115.0,6261.0,7562.0,9027.0,8454.0,8196.0,7825.0,6864.0,6271.0,5707.0,4505.0,3202.0
Westmeath,5018.0,5191.0,6466.0,6967.0,6479.0,6261.0,5761.0,5077.0,4427.0,3787.0,2860.0,2089.0
Wexford,7167.0,7787.0,9784.0,11327.0,11136.0,10742.0,10043.0,9002.0,8018.0,7265.0,5791.0,4151.0
Wicklow,7148.0,7250.0,9660.0,11493.0,11378.0,10327.0,9803.0,8273.0,7202.0,6412.0,4999.0,3300.0
